Batch,Hashtag1,Hashtag2,Hashtag3,Hashtag4,Hashtag5,Hashtag6,Hashtag7,Hashtag8,Hashtag9,Hashtag10,Hashtag11,Hashtag12
1,ProxSI,IntSI,DistSI,Cecum,ProxCol,DistCol,ProxSI,IntSI,DistSI,Cecum,ProxCol,DistCol
2,ProxSI,IntSI,DistSI,Cecum,ProxCol,DistCol,ProxSI,IntSI,DistSI,Cecum,ProxCol,DistCol
