Batch,Hashtag1,Hashtag2,Hashtag3,Hashtag4,Hashtag5,Hashtag6,Hashtag7,Hashtag8,Hashtag9,Hashtag10,Hashtag11,Hashtag12
1,Young_1,Young_1,Young_1,Young_1,Young_1,Young_1,Old_1,Old_1,Old_1,Old_1,Old_1,Old_1
2,Young_2,Young_2,Young_2,Young_2,Young_2,Young_2,Old_2,Old_2,Old_2,Old_2,Old_2,Old_2
3,Young_3,Young_3,Young_3,Young_3,Young_3,Young_3,Old_3,Old_3,Old_3,Old_3,Old_3,Old_3
